Date,Sales_Rep,Region,Brand,Sales,COGS
2024-10-04,Cesar Bryant,North Central,Puma,534.8,415.91
2024-03-28,Paul Partick,South,Jessica Simpson,72.19,37.66
2025-12-03,Felipe Weber,Northeast,Jessica Simpson,217.47,91.78
2024-07-15,Cesar Bryant,South,Jessica Simpson,454.66,153.12
2023-10-06,Martin Lynch,South,ADIDAS,227.48,153.45
2024-09-12,Paul Partick,North Central,Jessica Simpson,379.87,369.83
2025-08-14,Dale Warren,South,Ralph Lauren,165.08,76.74
2026-01-27,Felipe Weber,South,Tommy Hilfiger,333.39,176.08
2025-06-19,Scott Gonzalez,South,New Balance,527.27,420.42
2024-03-24,Dale Warren,Northeast,Tommy Hilfiger,592.6,198.37
2023-12-19,Felipe Weber,South,ADIDAS,194.6,90.37
2025-11-05,Paul Partick,West,Calvin Klein,596.57,211.13
2023-09-15,Cesar Bryant,West,Jessica Simpson,483.42,280.9
2025-02-11,Lowell Norton,South,Ralph Lauren,40.92,26.26
2025-05-30,Paul Partick,North Central,Calvin Klein,256.32,222.34
2023-11-22,Martin Lynch,West,Tommy Hilfiger,349.57,236.7
2023-11-11,Tomas Shaw,South,Tommy Hilfiger,188.94,111.67
2025-08-22,Dale Warren,West,Calvin Klein,255.83,211.21
2024-08-06,Scott Gonzalez,North Central,ADIDAS,216.42,207.2
2024-02-05,Tomas Shaw,West,Calvin Klein,197.64,155.26
2024-12-10,Marion Nichols,South,Ralph Lauren,388.3,274.5
2024-09-15,Scott Gonzalez,South,Calvin Klein,554.13,426.62
2023-05-31,Martin Lynch,South,ADIDAS,260.64,82.01
2025-07-02,Martin Lynch,Northeast,Puma,214.85,93.88
2024-02-08,Rogelio Stanley,South,Calvin Klein,103.89,90.12
2023-06-06,Tomas Shaw,North Central,ADIDAS,117.38,104.66
2024-01-24,Dale Warren,West,Jessica Simpson,199.33,156.71
2023-06-04,Felipe Weber,North Central,Calvin Klein,558.2,536.59
2023-03-22,Scott Gonzalez,Northeast,Calvin Klein,160.81,41.2
2024-01-29,Aubrey Santiago,West,Puma,230.34,91.34
2025-04-19,Felipe Weber,West,Ralph Lauren,73.98,50.89
2024-12-14,Scott Gonzalez,South,ADIDAS,58.37,26.42
2023-03-21,Tomas Shaw,Northeast,Nike,576.74,479.65
2023-08-12,Aubrey Santiago,North Central,Tommy Hilfiger,277.97,129.27
2025-10-10,Tomas Shaw,North Central,New Balance,426.59,250.77
2025-03-29,Marion Nichols,South,Puma,533.86,138.34
2024-09-03,Lowell Norton,South,Jessica Simpson,122.05,62.03
2023-06-24,Scott Gonzalez,North Central,Jessica Simpson,424.72,400.69
2024-03-26,Aubrey Santiago,Northeast,Puma,296.79,129.86
2023-04-01,Marion Nichols,Northeast,New Balance,199.57,62.61
2024-11-08,Lowell Norton,North Central,Nike,549.89,421.77
2026-01-23,Felipe Weber,North Central,Calvin Klein,466.17,392.87
2024-12-23,Martin Lynch,North Central,Ralph Lauren,241.25,164.41
2025-06-18,Aubrey Santiago,Northeast,Puma,92.15,70.28
2024-08-02,Dale Warren,South,New Balance,411.4,167.16
2023-07-14,Felipe Weber,South,Calvin Klein,62.93,41.16
2023-10-21,Lowell Norton,Northeast,Puma,44.62,32.25
2023-03-17,Felipe Weber,West,ADIDAS,322.53,89.77
2025-05-10,Felipe Weber,West,Ralph Lauren,79.44,25.14
2023-09-27,Martin Lynch,Northeast,Tommy Hilfiger,279,180.16
2024-03-04,Martin Lynch,Northeast,Jessica Simpson,81.42,66.98
2025-12-04,Dale Warren,South,Ralph Lauren,295.09,139.75
2023-10-27,Tomas Shaw,South,Calvin Klein,198.83,122.43
2023-05-01,Lowell Norton,South,Nike,327.94,261.32
2023-08-25,Aubrey Santiago,South,New Balance,174.46,159.57
2024-10-16,Rogelio Stanley,North Central,Puma,189.15,181.09
2024-08-23,Lowell Norton,South,Calvin Klein,566.91,272.92
2025-05-26,Tomas Shaw,South,New Balance,370.97,184.72
2024-06-21,Felipe Weber,North Central,Puma,535.76,441.75
2024-11-28,Martin Lynch,South,New Balance,55.85,37.65
2025-12-19,Dale Warren,Northeast,New Balance,286.7,91.49
2024-10-11,Felipe Weber,North Central,Puma,557.24,168.28
2025-11-29,Felipe Weber,Northeast,Ralph Lauren,282.11,250.97
2024-06-06,Lowell Norton,South,Puma,85.63,79.82
2025-10-13,Cesar Bryant,North Central,Ralph Lauren,158.87,45.19
2025-05-27,Tomas Shaw,North Central,Ralph Lauren,327.23,287
2024-03-23,Aubrey Santiago,West,Ralph Lauren,174.81,120.47
2024-11-22,Martin Lynch,West,Puma,488.77,483.69
2026-01-30,Lowell Norton,South,ADIDAS,540.94,208.91
2024-03-25,Rogelio Stanley,South,Ralph Lauren,216.46,83.18
2025-03-23,Paul Partick,North Central,Ralph Lauren,318.54,97.05
2026-02-16,Dale Warren,North Central,Tommy Hilfiger,414.7,243.34
2024-07-02,Scott Gonzalez,North Central,ADIDAS,143.67,109.11
2025-10-07,Dale Warren,South,Tommy Hilfiger,169.68,137.78
2024-04-28,Tomas Shaw,Northeast,ADIDAS,409.06,325.28
2025-05-05,Lowell Norton,North Central,ADIDAS,235.84,145.86
2025-05-17,Scott Gonzalez,South,Ralph Lauren,242.13,131.82
2025-12-17,Martin Lynch,Northeast,Tommy Hilfiger,116.08,109.35
2025-09-09,Marion Nichols,Northeast,Ralph Lauren,468.58,206.15
2025-06-22,Marion Nichols,North Central,Puma,56.96,32.33
2025-10-30,Cesar Bryant,North Central,Jessica Simpson,498.55,479.83
2023-09-05,Cesar Bryant,South,Jessica Simpson,304.46,95.79
2023-07-03,Martin Lynch,Northeast,Tommy Hilfiger,492.16,277.92
2025-11-23,Dale Warren,North Central,New Balance,144.65,97.71
2023-04-26,Marion Nichols,South,Jessica Simpson,297.77,244.15
2024-08-03,Scott Gonzalez,Northeast,Jessica Simpson,551.1,212.3
2026-02-17,Marion Nichols,South,New Balance,297.69,260.25
